observationTime,observationTimeUtc,airTemperature,feelsLikeTemperature,windSpeed,windGust,windDirection,cloudCover,seaLevelPressure,relativeHumidity,precipitation,conditionCode
2025-08-06 23:00:00+03:00,2025-08-06 20:00:00+00:00,13.6,13.6,2.9,8.2,257,0,1018.7,75,0,clear
2025-08-07 00:00:00+03:00,2025-08-06 21:00:00+00:00,12.7,12.7,2.5,5.1,262,0,1018.9,78,0,clear
2025-08-07 01:00:00+03:00,2025-08-06 22:00:00+00:00,11.7,11.7,2.0,4.5,231,0,1019.3,86,0,clear
2025-08-07 02:00:00+03:00,2025-08-06 23:00:00+00:00,11.5,11.5,2.0,4.0,237,13,1019.2,87,0,partly-cloudy
2025-08-07 03:00:00+03:00,2025-08-07 00:00:00+00:00,11.1,11.1,2.2,3.8,214,50,1019.5,89,0,variable-cloudiness
2025-08-07 04:00:00+03:00,2025-08-07 01:00:00+00:00,11.5,11.5,2.6,4.1,211,88,1019.6,90,0,cloudy
2025-08-07 05:00:00+03:00,2025-08-07 02:00:00+00:00,10.5,10.5,2.1,5.2,218,13,1019.9,96,0,partly-cloudy
2025-08-07 06:00:00+03:00,2025-08-07 03:00:00+00:00,10.0,8.7,2.6,4.1,203,0,1020.1,98,0,clear
2025-08-07 07:00:00+03:00,2025-08-07 04:00:00+00:00,10.9,10.9,3.0,5.7,213,50,1020.3,96,0,variable-cloudiness
2025-08-07 08:00:00+03:00,2025-08-07 05:00:00+00:00,12.4,12.4,3.1,5.5,213,63,1020.3,87,0,cloudy-with-sunny-intervals
2025-08-07 09:00:00+03:00,2025-08-07 06:00:00+00:00,14.9,14.9,2.3,6.5,229,0,1020.6,78,0,clear
2025-08-07 10:00:00+03:00,2025-08-07 07:00:00+00:00,16.2,16.2,2.6,5.6,208,25,1020.9,74,0,partly-cloudy
2025-08-07 11:00:00+03:00,2025-08-07 08:00:00+00:00,17.3,17.3,2.7,7.4,263,75,1020.9,67,0,cloudy-with-sunny-intervals
2025-08-07 12:00:00+03:00,2025-08-07 09:00:00+00:00,18.8,18.8,3.3,8.6,266,38,1020.7,61,0,variable-cloudiness
2025-08-07 13:00:00+03:00,2025-08-07 10:00:00+00:00,20.0,20.0,2.6,7.8,242,50,1020.6,56,0,variable-cloudiness
2025-08-07 14:00:00+03:00,2025-08-07 11:00:00+00:00,19.8,19.8,3.8,7.5,239,88,1020.4,56,0,cloudy
2025-08-07 15:00:00+03:00,2025-08-07 12:00:00+00:00,18.2,18.2,1.7,6.8,323,100,1020.7,65,0,cloudy
2025-08-07 16:00:00+03:00,2025-08-07 13:00:00+00:00,19.3,19.3,2.9,6.0,260,100,1020.5,58,0,cloudy
2025-08-07 17:00:00+03:00,2025-08-07 14:00:00+00:00,20.4,20.4,4.0,7.6,236,50,1020.2,53,0,variable-cloudiness
2025-08-07 18:00:00+03:00,2025-08-07 15:00:00+00:00,20.9,20.9,4.0,8.3,245,0,1020.2,50,0,clear
2025-08-07 19:00:00+03:00,2025-08-07 16:00:00+00:00,20.2,20.2,2.6,7.7,232,13,1020.2,54,0,partly-cloudy
2025-08-07 20:00:00+03:00,2025-08-07 17:00:00+00:00,18.2,18.2,0.7,4.8,306,75,1020.6,69,0,cloudy-with-sunny-intervals
2025-08-07 21:00:00+03:00,2025-08-07 18:00:00+00:00,16.7,16.7,1.1,2.0,206,13,1020.8,74,0,partly-cloudy
2025-08-07 22:00:00+03:00,2025-08-07 19:00:00+00:00,15.9,15.9,1.5,2.1,205,100,1021.2,75,0,cloudy
